,Book Title,Author,Description,Genre
36,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Christopher John Francis Boone knows all the countries of the world and their capitals and every prime number up to 7,057. He relates well to animals but has no understanding of human emotions. He cannot stand to be touched. And he detests the color yellow. This improbable story of Christopher’s quest to investigate the suspicious death of a neighborhood dog makes for one of the most captivating, unusual, and widely heralded novels in recent years.","['Fiction', 'Mystery', 'Young Adult', 'Classics', 'Autistic Spectrum Disorder', 'Novels', 'Contemporary']"
37,Masquerade,Melissa de la Cruz,"Schuyler Van Alen is starting to get more comfortable with her newfound vampire powers, but she still has many unanswered questions. A trip to Italy in search of her grandfather only serves to make things more confusing. What secrets are the leaders of The Committee hiding? Meanwhile, back in New York, preparations are feverishly underway for the famous Four Hundred Ball. In true Blue Blood fashion, the ball is totally fab, complete with masksâ€”and hidden behind this masquerade is a revelation that will change the course of a young vampireâ€™s destiny.The thrilling sequel in Melissa de la Cruzâ€™s vampire mythology has all the glamour, attitude, and vampire lore that made the first book a hit.","['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Angels']"
38,The Hobbit,"J.R.R. Tolkien, Douglas A. Anderson, Michael Hague (Illustrator) ...more","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.Written for J.R.R. Tolkien’s own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001).","['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'High Fantasy', 'Science Fiction Fantasy']"
39,Graceling,Kristin Cashore,"Katsa has been able to kill a man with her bare hands since she was eight—she’s a Graceling, one of the rare people in her land born with an extreme skill. As niece of the king, she should be able to live a life of privilege, but Graced as she is with killing, she is forced to work as the king’s thug. She never expects to fall in love with beautiful Prince Po. She never expects to learn the truth behind her Grace—or the terrible secret that lies hidden far away . . . a secret that could destroy all seven kingdoms with words alone. With elegant, evocative prose and a cast of unforgettable characters, debut author Kristin Cashore creates a mesmerizing world, a death-defying adventure, and a heart-racing romance that will consume you, hold you captive, and leave you wanting more.","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic']"
40,City of Ashes,Cassandra Clare,"Also see: Alternate Cover Editions for this ISBN [ACE]  
ACE #1
Clary Fray just wishes that her life would go back to normal. But what's normal when you're a demon-slaying Shadowhunter, your mother is in a magically induced coma, and you can suddenly see Downworlders like werewolves, vampires, and faeries? If Clary left the world of the Shadowhunters behind, it would mean more time with her best friend, Simon, who's becoming more than a friend. But the Shadowhunting world isn't ready to let her go — especially her handsome, infuriating, newfound brother, Jace. And Clary's only chance to help her mother is to track down rogue Shadowhunter Valentine, who is probably insane, certainly evil — and also her father.To complicate matters, someone in New York City is murdering Downworlder children. Is Valentine behind the killings — and if he is, what is he trying to do? When the second of the Mortal Instruments, the Soul-Sword, is stolen, the terrifying Inquisitor arrives to investigate and zooms right in on Jace. How can Clary stop Valentine if Jace is willing to betray everything he believes in to help their father?In this breathtaking sequel to City of Bones, Cassandra Clare lures her readers back into the dark grip of New York City's Downworld, where love is never safe and power becomes the deadliest temptation.","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']"
41,Harry Potter and the Deathly Hallows,J.K. Rowling,"Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort's remaining Horcruxes. Never has Harry felt so alone, or faced a future so full of shadows. But Harry must somehow find within himself the strength to complete the task he has been given. He must leave the warmth, safety and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him...In this final, seventh installment of the Harry Potter series, J.K. Rowling unveils in spectacular fashion the answers to the many questions that have been so eagerly awaited.","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
42,Poison Study,Maria V. Snyder,"Choose: A quick death… or slow poison...About to be executed for murder, Yelena is offered an extraordinary reprieve. She'll eat the best meals, have rooms in the palace—and risk assassination by anyone trying to kill the Commander of Ixia.And so Yelena chooses to become a food taster. But the chief of security, leaving nothing to chance, deliberately feeds her Butterfly's Dust—and only by appearing for her daily antidote will she delay an agonizing death from the poison.As Yelena tries to escape her new dilemma, disasters keep mounting. Rebels plot to seize Ixia and Yelena develops magical powers she can't control. Her life is threatened again and choices must be made. But this time the outcomes aren't so clear...","['Fantasy', 'Young Adult', 'Romance', 'Magic', 'Fiction', 'Young Adult Fantasy', 'High Fantasy']"
43,Catching Fire,Suzanne Collins,"Sparks are igniting.Flames are spreading.And the Capitol wants revenge. Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create. Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.In Catching Fire, the second novel of the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before . . . and surprising readers at every turn.","['Young Adult', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Audiobook', 'Teen']"
44,Midnight in the Garden of Good and Evil,John Berendt,"Shots rang out in Savannah's grandest mansion in the misty, early morning hours of May 2, 1981. Was it murder or self-defense? For nearly a decade, the shooting and its aftermath reverberated throughout this city of moss-hung oaks and shaded squares. John Berendt's narrative reads like a thoroughly engrossing novel, and yet it is a work of nonfiction. Berendt interweaves a first-person account of life in this isolated remnant of the Old South with the unpredictable twists and turns of a landmark murder case.The story is peopled by a gallery of remarkable characters: the well-bred society ladies of the Married Woman's Card Club; the turbulent young redneck gigolo; the hapless recluse who owns a bottle of poison so powerful it could kill every man, woman, and child in Savannah; the aging and profane Southern belle who is the ""soul of pampered self-absorption""; the uproarious black drag queen; the acerbic and arrogant antiques dealer; the sweet-talking, piano-playing con artist; young blacks dancing the minuet at the black debutante ball; and Minerva, the voodoo priestess who works her magic in the graveyard at midnight. These and other Savannahians act as a Greek chorus, with Berendt revealing the alliances, hostilities, and intrigues that thrive in a town where everyone knows everyone else.","['Nonfiction', 'True Crime', 'Mystery', 'Crime', 'History', 'Classics', 'Audiobook']"
45,Fragile Eternity,Melissa Marr,"Seth never expected he would want to settle down with anyone - but that was before Aislinn. She is everything he'd ever dreamed of, and he wants to be with her forever. Forever takes on new meaning, though, when your girlfriend is an immortal faery queen.Aislinn never expected to rule the very creatures who'd always terrified her - but that was before Keenan. He stole her mortality to make her a monarch, and now she faces challenges and enticements beyond any she'd ever imagined.In Melissa Marr's third mesmerizing tale of Faerie, Seth and Aislinn struggle to stay true to themselves and each other in a milieu of shadowy rules and shifting allegiances, where old friends become new enemies and one wrong move could plunge the Earth into chaos.","['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fairies', 'Fae']"
46,The Graveyard Book,"Neil Gaiman, Dave McKean (Illustrator)","Nobody Owens, known to his friends as Bod, is a perfectly normal boy. Well, he would be perfectly normal if he didn't live in a graveyard, being raised and educated by ghosts, with a solitary guardian who belongs to neither the world of the living nor the world of the dead.There are dangers and adventures for Bod in the graveyard: the strange and terrible menace of the Sleer; a gravestone entrance to a desert that leads to the city of ghouls; friendship with a witch, and so much more.But it is in the land of the living that real danger lurks, for it is there that the man Jack lives and he has already killed Bod's family.A deliciously dark masterwork by bestselling author Neil Gaiman, with illustrations by award-winning Dave McKean.","['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Middle Grade', 'Paranormal', 'Childrens']"
47,Eyes Like Stars,Lisa Mantchev,"
All her world's a stage.
Bertie Shakespeare Smith is not an actress, yet she lives in a theater.She's not an orphan, but she has no parents.She knows every part, but she has no lines of her own.That is, until now. Enter Stage Right  NATE. Dashing pirate. Will do anything to protect Bertie.  COBWEB, MOTH, MUSTARDSEED, and PEASEBLOSSOM. Four tiny and incredibly annoying fairies. BERTIE'S sidekicks.  ARIEL. Seductive air spirit and Bertie's weakness. The symbol of impending doom. BERTIE. Our heroine.  Welcome to the Théâtre Illuminata, where the actors of every play ever written can be found behind the curtain. They were born to play their parts, and are bound to the Théâtre by The Book, an ancient and magical tome of scripts. Bertie is not one of them, but they are her family, and she is about to lose them all and the only home she has ever known. Lisa Mantchev has written a debut novel that is dramatic, romantic, and witty, with an irresistible and irreverent cast of characters who are sure to enchant the audience.  Open Curtain","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Magic', 'Fairies', 'Young Adult Fantasy']"
48,The Last Olympian,Rick Riordan,"All year the half-bloods have been preparing for battle against the Titans, knowing the odds of victory are grim. Kronos's army is stronger than ever, and with every god and half-blood he recruits, the evil Titan's power only grows.While the Olympians struggle to contain the rampaging monster Typhon, Kronos begins his advance on New York City, where Mount Olympus stands virtually unguarded. Now it's up to Percy Jackson and an army of young demigods to stop the Lord of Time. In this momentous final book in the New York Times best-selling series, the long-awaited prophecy surrounding Percy's sixteenth birthday unfolds. And as the battle for Western civilization rages on the streets of Manhattan, Percy faces a terrifying suspicion that he may be fighting against his own fate.","['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
49,Only Revolutions,Mark Z. Danielewski,"They were with us before Romeo Juliet. And long after too. Because they're forever around. Or so both claim, carolling gleefully ""always sixteen."" Sam and Hailey, powered by an ever-rotating fleet of cars, from Model T to Lincoln Continental, career from the Civil War to the Cold War, barrelling down through the Appalachians, up the Mississippi River, across the Badlands, finally cutting a nation in half as they try to outrace History itself. By turns beguiling and gripping, finally worldwrecking, Only Revolutions is unlike anything ever published before, a remarkable feat of heart and intellect, moving us with the journey of two kids, perpetually of summer, perpetually sixteen, who give up everything except each other.","['Fiction', 'Poetry', 'Fantasy', 'Romance', 'Novels', 'Literature', 'Literary Fiction']"
50,Across the Universe,Beth Revis,"A love out of time. A spaceship built of secrets and murder. Seventeen-year-old Amy joins her parents as frozen cargo aboard the vast spaceship Godspeed and expects to awaken on a new planet, three hundred years in the future. Never could she have known that her frozen slumber would come to an end fifty years too soon and that she would be thrust into the brave new world of a spaceship that lives by its own rules.Amy quickly realizes that her awakening was no mere computer malfunction. Someone—one of the few thousand inhabitants of the spaceship —tried to kill her. And if Amy doesn't do something soon, her parents will be next.Now Amy must race to unlock Godspeed's hidden secrets. But out of her list of murder suspects, there's only one who matters: Elder, the future leader of the ship and the love she could never have seen coming.","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Mystery']"
51,Ink Exchange,Melissa Marr,"Unbeknownst to mortals, a power struggle is unfolding in a world of shadows and danger. After centuries of stability, the balance among the Faery Courts has altered, and Irial, ruler of the Dark Court, is battling to hold his rebellious and newly vulnerable fey together. If he fails, bloodshed and brutality will follow.Seventeen-year-old Leslie knows nothing of faeries or their intrigues. When she is attracted to an eerily beautiful tattoo of eyes and wings, all she knows is that she has to have it, convinced it is a tangible symbol of changes she desperately craves for her own life.The tattoo does bring changes, but not the kind Leslie has dreamed of, but sinister, compelling changes that are more than symbolic. Those changes will bind Leslie and Irial together, drawing Leslie deeper and deeper into the faery world, unable to resist its allures, and helpless to withstand its perils. . .","['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fairies', 'Fae']"
52,The Dark Divine,Bree Despain,"Grace Divine, daughter of the local pastor, always knew something terrible happened the night Daniel Kalbi disappeared--the night she found her brother Jude collapsed on the porch, covered in his own blood--but she has no idea what a truly monstrous secret that night held.The memories her family has tried to bury resurface when Daniel returns, three years later, and enrolls in Grace and Jude's high school. Despite promising Jude she'll stay away, Grace cannot deny her attraction to Daniel's shocking artistic abilities, his way of getting her to look at the world from new angles, and the strange, hungry glint in his eyes.The closer Grace gets to Daniel, the more she jeopardizes her life, as her actions stir resentment in Jude and drive him to embrace the ancient evil Daniel unleashed that horrific night. Grace must discover the truth behind the boy's dark secret...and the cure that can save the ones she loves. But she may have to lay down the ultimate sacrifice to do it--her soul.","['Young Adult', 'Paranormal', 'Fantasy', 'Romance', 'Werewolves', 'Paranormal Romance', 'Supernatural']"
53,Elsewhere,Gabrielle Zevin,"Welcome to Elsewhere. It is warm, with a breeze, and the beaches are marvelous. It's quiet and peaceful. You can't get sick or any older. Curious to see new paintings by Picasso? Swing by one of Elsewhere's museums. Need to talk to someone about your problems? Stop by Marilyn Monroe's psychiatric practice.Elsewhere is where fifteen-year-old Liz Hall ends up, after she has died. It is a place so like Earth, yet completely different. Here Liz will age backward from the day of her death until she becomes a baby again and returns to Earth. But Liz wants to turn sixteen, not fourteen again. She wants to get her driver's license. She wants to graduate from high school and go to college. And now that she's dead, Liz is being forced to live a life she doesn't want with a grandmother she has only just met. And it is not going well. How can Liz let go of the only life she has ever known and embrace a new one? Is it possible that a life lived in reverse is no different from a life lived forward?This moving, often funny book about grief, death, and loss will stay with the reader long after the last page is turned.","['Young Adult', 'Fantasy', 'Fiction', 'Romance', 'Death', 'Teen', 'Paranormal']"
54,The Truth About Forever,Sarah Dessen,"That's what Macy has to look forward to while her boyfriend, Jason, is away at Brain Camp. Days will be spent at a boring job in the library, evenings will be filled with vocabulary drills for the SATs, and spare time will be passed with her mother, the two of them sharing a silent grief at the traumatic loss of Macy's father.But sometimes, unexpected things can happen—things such as the catering job at Wish, with its fun-loving, chaotic crew. Or her sister's project of renovating the neglected beach house, awakening long-buried memories. Things such as meeting Wes, a boy with a past, a taste for Truth-telling, and an amazing artistic talent, the kind of boy who could turn any girl's world upside down. As Macy ventures out of her shell, she begins to question her sheltered life.","['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Realistic Fiction', 'Teen']"
55,The Iron King,Julie Kagawa,"Meghan Chase has a secret destiny; one she could never have imagined.Something has always felt slightly off in Meghan's life, ever since her father disappeared before her eyes when she was six. She has never quite fit in at school or at home.When a dark stranger begins watching her from afar, and her prankster best friend becomes strangely protective of her, Meghan senses that everything she's known is about to change.But she could never have guessed the truth - that she is the daughter of a mythical faery king and is a pawn in a deadly war. Now Meghan will learn just how far she'll go to save someone she cares about, to stop a mysterious evil, no faery creature dare face; and to find love with a young prince who might rather see her dead than let her touch his icy heart.","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Fae', 'Fairies', 'Urban Fantasy']"
56,Envy,Anna Godbersen,"Gossip Girl meets the Gilded Age in this delicious and compelling novel, the third in the New York Times bestselling series from author Anna Godbersen.In the thrilling third installment of Anna Godbersen’s bestselling Luxe series, Manhattan’s most envied residents appear to have everything they desire: Wealth. Beauty. Happiness. But sometimes the most practiced smiles hide the most scandalous secrets.
Jealous whispers. Old rivalries. New betrayals. This is Manhattan, 1899.
Two months after Elizabeth Holland’s dramatic homecoming, Manhattan eagerly awaits her return to the pinnacle of society. When Elizabeth refuses to rejoin her sister Diana’s side, however, those watching New York’s favorite family begin to suspect that all is not as it seems behind the stately doors of No. 17 Gramercy Park South.Farther uptown, Henry and Penelope Schoonmaker are the city’s most celebrated couple. But despite the glittering diamond ring on Penelope’s finger, the newlyweds share little more than scorn for each other. And while the newspapers call Penelope’s social-climbing best friend, Carolina Broad, an heiress, her fortune—and her fame—is anything but secure.“Mystery, romance, jealousy, betrayal, humor, and gorgeous, historically accurate details. I couldn’t put The Luxe down!” —Cecily von Ziegesar, author of the #1 New York Times bestselling Gossip Girl series","['Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Historical Romance', 'Chick Lit']"
57,Looking for Alaska,John Green,"Before. Miles “Pudge” Halter is done with his safe life at home. His whole life has been one big non-event, and his obsession with famous last words has only made him crave “the Great Perhaps” even more (Francois Rabelais, poet). He heads off to the sometimes crazy and anything-but-boring world of Culver Creek Boarding School, and his life becomes the opposite of safe. Because down the hall is Alaska Young. The gorgeous, clever, funny, sexy, self-destructive, screwed up, and utterly fascinating Alaska Young. She is an event unto herself. She pulls Pudge into her world, launches him into the Great Perhaps, and steals his heart. Then. . . . After. Nothing is ever the same.","['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen']"
58,Sisters Red,Jackson Pearce,"Scarlett March lives to hunt the Fenris — the werewolves that took her eye when she was defending her sister Rosie from a brutal attack. Armed with a razor-sharp hatchet and blood-red cloak, Scarlett is an expert at luring and slaying the wolves. She's determined to protect other young girls from a grisly death, and her raging heart will not rest until every single wolf is dead. Rosie March once felt her bond with her sister was unbreakable. Owing Scarlett her life, Rosie hunts ferociously alongside her. But even as more girls' bodies pile up in the city and the Fenris seem to be gaining power, Rosie dreams of a life beyond the wolves. She finds herself drawn to Silas, a young woodsman who is deadly with an ax and Scarlett's only friend — but does loving him mean betraying her sister and all that they've worked for?","['Fantasy', 'Young Adult', 'Retellings', 'Fairy Tales', 'Paranormal', 'Werewolves', 'Romance']"
59,The Gargoyle,Andrew  Davidson,"A young man is fighting for his life. Into his room walks a bewitching woman who believes she can save him. Their journey will have you believing in the impossible. The nameless and beautiful narrator of The Gargoyle is driving along a dark road when he is distracted by what seems to be a flight of arrows. He crashes into a ravine and wakes up in a burns ward, undergoing the tortures of the damned. His life is over - he is now a monster. But in fact it is only just beginning. One day, Marianne Engel, a wild and compelling sculptress of gargoyles, enters his life and tells him that they were once lovers in medieval Germany. In her telling, he was a badly burned mercenary and she was a nun and a scribe who nursed him back to health in the famed monastery of Engelthal. As she spins her tale, Scheherazade fashion, and relates equally mesmerising stories of deathless love in Japan, Greenland, Italy and England, he finds himself drawn back to life - and, finally, to love.","['Fiction', 'Fantasy', 'Historical Fiction', 'Romance', 'Historical', 'Gothic', 'Contemporary']"
60,Where the Wild Things Are,Maurice Sendak,"Max, a wild and naughty boy, is sent to bed without his supper by his exhausted mother. In his room, he imagines sailing far away to a land of Wild Things. Instead of eating him, the Wild Things make Max their king.","['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']"
61,The Awakening,Kelley Armstrong,"If you had met me a few weeks ago, you probably would have described me as an average teenage girl - someone normal. Now my life has changed forever and I’m as far away from normal as it gets. A living science experiment - not only can I see ghosts, but I was genetically altered by a sinister organization called Edison Group. What does that mean? For starters. I'm a teenage necromancer whose powers are out of control: I raise the dead without even trying. Trust me, that is not a power you want to have. Ever.Now I’m running for my life with three of my supernatural friends - a charming sorcerer, a cynical werewolf, and a disgruntled witch - and we have to find someone who can help us before the Edison Group finds us first. Or die trying.","['Young Adult', 'Fantasy', 'Paranormal', 'Urban Fantasy', 'Supernatural', 'Romance', 'Magic']"
62,A Million Little Pieces,James Frey,"Intense, unpredictable, and instantly engaging, this is a story of drug and alcohol abuse and rehabilitation as it has never been told before. It is also the introduction of a bold and talented literary voice. Before considering reading this book, please see the BookBrowse note on the book jacket/review page.BookBrowse Note: January 9th 2006: An article in the Smoking Gun claimed that James Frey (author of A Million Little Pieces and My Friend Leonard) fabricated key parts of his books. They cited police records, court documents and interviews with law enforcement agents which belie a number of Frey's claims regarding criminal charges against him, jail terms and his fugitive status.In an interview with the Smoking Gun, Frey admitted that he had 'embellished central details' in A Million Little Pieces and backtracked on claims he made in the book.January 26th 2006. Frey's publisher stated that while it initially stood by him, after further questioning of the author, the house has ""sadly come to the realization that a number of facts have been altered and incidents embellished."" It will be adding a a publisher's note and author's note to all future editions of A Million Little Pieces.","['Fiction', 'Contemporary', 'Psychology', 'Biography Memoir', 'Mental Health', 'Adult', 'Book Club']"
63,The Handmaid’s Tale,Margaret Atwood,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now…Funny, unexpected, horrifying, and altogether convincing, The Handmaid's Tale is at once scathing satire, dire warning, and tour de force.","['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult']"
64,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith (Illustrator)","When Dorothy triumphed over the Wicked Witch of the West in L. Frank Baum's classic tale we heard only her side of the story. But what about her arch-nemesis, the mysterious Witch? Where did she come from? How did she become so wicked? And what is the true nature of evil?Gregory Maguire creates a fantasy world so rich and vivid that we will never look at Oz the same way again. Wicked is about a land where animals talk and strive to be treated like first-class citizens, Munchkinlanders seek the comfort of middle-class stability, and the Tin Man becomes a victim of domestic violence. And then there is the little green-skinned girl named Elphaba, who will grow up to become the infamous Wicked Witch of the West, a smart, prickly, and misunderstood creature who challenges all our preconceived notions about the nature of good and evil.An astonishingly rich re-creation of the land of Oz, this book retells the story of Elphaba, the Wicked Witch of the West, who wasn't so wicked after all. Taking readers past the yellow brick road and into a phantasmagoric world rich with imagination and allegory, Gregory Maguire just might change the reputation of one of the most sinister characters in literature.","['Fantasy', 'Fiction', 'Adult', 'Retellings', 'Science Fiction Fantasy', 'Witches', 'Adult Fiction']"
65,Rumors,Anna Godbersen,"After bidding good-bye to New York's brightest star, Elizabeth Holland, rumors continue to fly about her untimely demise. All eyes are on those closest to the dearly her mischievous sister, Diana, now the family's only hope for redemption; New York's most notorious cad, Henry Schoon-maker, the flame Elizabeth never extinguished; the seductive Penelope Hayes, poised to claim all that her best friend left behind—including Henry; even Elizabeth's scheming former maid, Lina Broud, who discovers that while money matters and breeding counts, gossip is the new currency. As old friends become rivals, Manhattan's most dazzling socialites find their futures threatened by whispers from the past. In this delicious sequel to The Luxe , nothing is more dangerous than a scandal . . . or more precious than a secret.","['Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Fiction', 'Chick Lit', 'Historical Romance']"
66,The Brief History of the Dead,Kevin Brockmeier,"From Kevin Brockmeier, one of this generation's most inventive young writers, comes a striking new novel about death, life, and the mysterious place in between. The City is inhabited by those who have departed Earth but are still remembered by the living. They will reside in this afterlife until they are completely forgotten. But the City is shrinking, and the residents clearing out. Some of the holdouts, like Luka Sims, who produces the City’s only newspaper, are wondering what exactly is going on. Others, like Coleman Kinzler, believe it is the beginning of the end. Meanwhile, Laura Byrd is trapped in an Antarctic research station, her supplies are running low, her radio finds only static, and the power is failing. With little choice, Laura sets out across the ice to look for help, but time is running out. Kevin Brockmeier alternates these two storylines to create a lyrical and haunting story about love, loss and the power of memory.","['Fiction', 'Fantasy', 'Science Fiction', 'Horror', 'Death', 'Novels', 'Post Apocalyptic']"
67,Fahrenheit 451,Ray Bradbury,"Sixty years after its original publication, Ray Bradbury’s internationally acclaimed novel Fahrenheit 451 stands as a classic of world literature set in a bleak, dystopian future. Today its message has grown more relevant than ever before.Guy Montag is a fireman. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden. Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television “family.” But when he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people didn’t live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television, Montag begins to question everything he has ever known.","['Fiction', 'Science Fiction', 'Dystopia', 'Classics', 'School', 'Literature', 'Novels']"
68,Watchmen,"Alan Moore, Dave Gibbons (Illustrator/Letterer), John    Higgins (Colorist)","This Hugo Award-winning graphic novel chronicles the fall from grace of a group of super-heroes plagued by all-too-human failings. Along the way, the concept of the super-hero is dissected as the heroes are stalked by an unknown assassin.One of the most influential graphic novels of all time and a perennial best-seller, Watchmen has been studied on college campuses across the nation and is considered a gateway title, leading readers to other graphic novels such as V for Vendetta, Batman: The Dark Knight Returns and The Sandman series.","['Graphic Novels', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Classics', 'Comic Book']"
69,Od Magic,Patricia A. McKillip,"Brenden Vetch has a gift. With an innate sense he cannot explain to himself or describe to others, he connects to the agricultural world, nurturing gardens to flourish and instinctively knowing the healing properties each plant and herb has to offer. But Brenden’s gift isolates him from people—and from becoming part of a community.Until the day he receives a personal invitation from the wizard Od. She needs a gardener for her school in the great city of Kelior, where every potential wizard must be trained to serve the Kingdom of Numis. For decades the rulers of Numis have controlled the school, believing they can contain the power within it—and punish any wizard who dares defy the law.But unknown to the reigning monarchy is the power possessed by the school’s new gardener—a power that even Brenden isn’t fully aware of, and which is the true reason Od recruited him...","['Fantasy', 'Fiction', 'Magic', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Adult']"
70,The Sweet Far Thing,Libba Bray,"It has been a year of change since Gemma Doyle arrived at the foreboding Spence Academy. Her mother murdered, her father a laudanum addict, Gemma has relied on an unsuspected strength and has discovered an ability to travel to an enchanted world called the realms, where dark magic runs wild. Despite certain peril, Gemma has bound the magic to herself and forged unlikely new alliances. Now, as Gemma approaches her London debut, the time has come to test these bonds. The Order - the mysterious group her mother was once part of - is grappling for control of the realms, as is the Rakshana. Spence's burned East Wing is being rebuilt, but why now? Gemma and her friends see Pippa, but she is not the same. And their friendship faces its gravest trial as Gemma must decide once and for all what role she is meant for.","['Fantasy', 'Young Adult', 'Historical Fiction', 'Historical', 'Fiction', 'Romance', 'Paranormal']"
71,Howl’s Moving Castle,Diana Wynne Jones,"Sophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it lies in the ever-moving castle in the hills: the Wizard Howl's castle. To untangle the enchantment, Sophie must handle the heartless Howl, strike a bargain with a fire demon, and meet the Witch of the Waste head-on. Along the way, she discovers that there's far more to Howl—and herself—than first meets the eye.An alternative cover for this ISBN can be found here","['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Magic', 'Classics', 'Childrens']"
72,Daughter of the Flames,Zoë Marriott,"Zahira is a young woman of the conquered Rua people, their country occupied by another, very different culture - the Sedorne. Zahira is an orphan and has been raised to despise and distrust the occupying population, as well as to be a devout follower of the native religion. But everything changes for Zahira when her home and foster family are destroyed and she finds out some shocking truths about her heritage and real family. Realizing that it is up to her to do something about the violence and upheaval that are tearing her country apart, she must learn to accept her Sedorne origins and try to bridge the gap between the warring cultures. But when her own people suspect her of treachery for her ideas - especially after she saves the life of a Sedorne nobleman and begins to fall in love - the epic task ahead of her seems insurmountable...","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Magic', 'Adventure']"
